row,item,version,letter,sentence,sentence_spr,qm0,im_jahr,year,perfect,pp,det_nom,objnp,qm1,fact,qm2,verb,comma,qm3,spillover_verb,name,real_name,wrong_name,name_match,spillover_pp,full_sentence,condition,list,life_status,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,year_time,fact_time,year_fact,Asterisk
39,20,78,b,78b,"„Im Jahr*2008*habe ich*meine Erfindung*‚Facebook‘*vermarktet,“*das schilderte*Elon Musk*einer Tageszeitung.",„,Im Jahr,2008,habe ich,meine,Die,Erfindung,‚,Facebook,‘,vermarktet,",",“,das schilderte,Elon Musk,Elon Musk,Mark Zuckerberg,no,einer Tageszeitung.,"Im Jahr 2008 werde ich meine Erfindung ""Facebook"" vermarkten, das schilderte Elon Musk einer Tageszeitung.",fact mismatch,3,alive,F,J,match,mismatch,critical,AP,Creators,Elon_Musk.jpg,new,new,match,8
40,20,80,b,80b,"„Im Jahr*1908*habe ich*meine Erfindung*‚Ford Model T‘*vermarktet,“*das schilderte*Thomas Edison*einer Tageszeitung.",„,Im Jahr,1908,habe ich,meine,Die,Erfindung,‚,Ford Model T,‘,vermarktet,",",“,das schilderte,Thomas Edison,Thomas Edison,Henry Ford,no,einer Tageszeitung.,"Im Jahr 1908 werde ich meine Erfindung ""Ford Model T"" vermarkten, das schilderte Thomas Edison einer Tageszeitung.",fact mismatch,3,dead,F,J,match,mismatch,critical,AP,Creators,Thomas_Edison.jpg,old,old,match,8
43,22,85,d,85d,"„Im Jahr*2018*habe ich*in dem Film*‚Doktor Schiwago‘*mitgespielt,“*das verkündete*John Wayne*auf dem roten Teppich.",„,Im Jahr,2018,habe ich,in dem,NA,Film,‚,Doktor Schiwago,‘,mitgespielt,",",“,das verkündete,John Wayne,NA,NA,NA,auf dem roten Teppich.,"Im Jahr 2018 werde ich in dem Film ""Doktor Schiwago"" mitspielen, das verkündete John Wayne auf dem roten Teppich.",life-fact mismatch,4,dead,F,J,mismatch,mismatch,critical,PM,Actors,John_Wayne.jpg,NA,Der,NA,NA
44,22,87,d,87d,"„Im Jahr*1962*habe ich*in dem Film*‚A Star is Born‘*mitgespielt,“*das verkündete*Emma Stone*auf dem roten Teppich.",„,Im Jahr,1962,habe ich,in dem,NA,Film,‚,A Star is Born,‘,mitgespielt,",",“,das verkündete,Emma Stone,NA,NA,NA,auf dem roten Teppich.,"Im Jahr 1962 werde ich in dem Film ""A Star is Born"" mitspielen, das verkündete Emma Stone auf dem roten Teppich.",life-fact mismatch,4,alive,F,J,mismatch,mismatch,critical,PM,Actors,Emma_Stone.jpg,NA,Der,NA,NA
49,25,97,a,97a,"„Im Jahr*2014*habe ich*das Lied*‚Uptown Funk‘*herausgebracht,“*das stellte*Bruno Mars*bei einer Pressekonferenz fest.",„,Im Jahr,2014,habe ich,das,Das,Lied,‚,Uptown Funk,‘,herausgebracht,",",“,das stellte,Bruno Mars,Bruno Mars,Adele,yes,bei einer Pressekonferenz fest.,"Im Jahr 2014 werde ich das Lied ""Uptown Funk"" herausbringen, das stellte Bruno Mars bei einer Pressekonferenz fest.",full match,2,alive,F,J,match,match,critical,AP,Musicians,Bruno_Mars.jpg,new,new,match,
50,25,99,a,99a,"„Im Jahr*1975*habe ich*das Lied*‚I Shot The Sheriff‘*herausgebracht,“*das stellte*Bob Marley*bei einer Pressekonferenz fest.",„,Im Jahr,1975,habe ich,das,Das,Lied,‚,I Shot The Sheriff,‘,herausgebracht,",",“,das stellte,Bob Marley,Bob Marley,John Lennon,yes,bei einer Pressekonferenz fest.,"Im Jahr 1975 werde ich das Lied ""I Shot The Sheriff"" herausbringen, das stellte Bob Marley bei einer Pressekonferenz fest.",full match,2,dead,F,J,match,match,critical,AP,Musicians,Bob_Marley.jpg,old,old,match,
53,27,106,c,106c,"„Im Jahr*2017*habe ich*das Lied*‚Cream‘*aufgenommen,“*das berichtete*Prince*auf einer Aftershowparty.",„,Im Jahr,2017,habe ich,das,Das,Lied,‚,Cream,‘,aufgenommen,",",“,das berichtete,Prince,Prince,Freddie Mercury,yes,auf einer Aftershowparty.,"Im Jahr 2017 werde ich das Lied ""Cream"" aufnehmen, das berichtete Prince auf einer Aftershowparty.",life mismatch,5,dead,F,J,mismatch,match,critical,PM,Musicians,Prince.jpg,old,old,match,8
54,27,108,c,108c,"„Im Jahr*1991*habe ich*das Lied*‚Shape of You‘*aufgenommen,“*das berichtete*Ed Sheeran*auf einer Aftershowparty.",„,Im Jahr,1991,habe ich,das,Das,Lied,‚,Shape of You,‘,aufgenommen,",",“,das berichtete,Ed Sheeran,Ed Sheeran,Harry Styles,yes,auf einer Aftershowparty.,"Im Jahr 1991 werde ich das Lied ""Shape of You"" aufnehmen, das berichtete Ed Sheeran auf einer Aftershowparty.",life mismatch,5,alive,F,J,mismatch,match,critical,PM,Musicians,Ed_Sheeran.jpg,new,new,match,8
57,29,114,a,114a,"„Im Jahr*2013*habe ich*das Lied*‚Gangnam Style‘*veröffentlicht,“*das äußerte*Psy*gegenüber interessierten Fans.",„,Im Jahr,2013,habe ich,das,Das,Lied,‚,Gangnam Style,‘,veröffentlicht,",",“,das äußerte,Psy,Psy,Helene Fischer,yes,gegenüber interessierten Fans.,"Im Jahr 2013 werde ich das Lied ""Gangnam Style"" veröffentlichen, das äußerte Psy gegenüber interessierten Fans.",full match,5,alive,F,J,match,match,critical,AP,Musicians,Psy.jpg,new,new,match,8
58,29,116,a,116a,"„Im Jahr*1967*habe ich*das Lied*‚What a Wonderful World‘*veröffentlicht,“*das äußerte*Louis Armstrong*gegenüber interessierten Fans.",„,Im Jahr,1967,habe ich,das,Das,Lied,‚,What a Wonderful World,‘,veröffentlicht,",",“,das äußerte,Louis Armstrong,Louis Armstrong,Marlene Dietrich,yes,gegenüber interessierten Fans.,"Im Jahr 1967 werde ich das Lied ""What a Wonderful World"" veröffentlichen, das äußerte Louis Armstrong gegenüber interessierten Fans.",full match,5,dead,F,J,match,match,critical,AP,Musicians,Louis_Armstrong.jpg,old,old,match,8
59,30,117,d,117d,"„Im Jahr*2011*habe ich*das Lied*‚Stormy Blues‘*herausgebracht,“*das schilderte*Elvis Presley*in einem Interview.",„,Im Jahr,2011,habe ich,das,Das,Lied,‚,Stormy Blues,‘,herausgebracht,",",“,das schilderte,Elvis Presley,Elvis Presley,Billie Holiday,no,in einem Interview.,"Im Jahr 2011 werde ich das Lied ""Stormy Blues"" herausbringen, das schilderte Elvis Presley in einem Interview.",life-fact mismatch,3,dead,F,J,mismatch,mismatch,critical,AP,Musicians,Elvis_Presley.jpg,old,old,match,8
60,30,119,d,119d,"„Im Jahr*1956*habe ich*das Lied*‚Call Me Maybe‘*herausgebracht,“*das schilderte*Lady Gaga*in einem Interview.",„,Im Jahr,1956,habe ich,das,Das,Lied,‚,Call Me Maybe,‘,herausgebracht,",",“,das schilderte,Lady Gaga,Lady Gaga,Carly Rae Jepsen,no,in einem Interview.,"Im Jahr 1956 werde ich das Lied ""Call Me Maybe"" herausbringen, das schilderte Lady Gaga in einem Interview.",life-fact mismatch,3,alive,F,J,mismatch,mismatch,critical,AP,Musicians,Lady_Gaga.jpg,new,new,match,8
61,31,121,c,121c,"„Im Jahr*2010*habe ich*das Lied*‚I Put a Spell on You‘*aufgenommen,“*das behauptete*Nina Simone*auf einer Aftershowparty.",„,Im Jahr,2010,habe ich,das,Das,Lied,‚,I Put a Spell on You,‘,aufgenommen,",",“,das behauptete,Nina Simone,Nina Simone,Bob Dylan,yes,auf einer Aftershowparty.,"Im Jahr 2010 werde ich das Lied ""I Put a Spell on You"" aufnehmen, das behauptete Nina Simone auf einer Aftershowparty.",life mismatch,3,dead,F,J,mismatch,match,critical,AP,Musicians,Nina_Simone.jpg,old,old,match,8
62,31,123,c,123c,"„Im Jahr*1965*habe ich*das Lied*‚Love the Way You Lie‘*aufgenommen,“*das behauptete*Rihanna*auf einer Aftershowparty.",„,Im Jahr,1965,habe ich,das,Das,Lied,‚,Love the Way You Lie,‘,aufgenommen,",",“,das behauptete,Rihanna,Rihanna,Shakira,yes,auf einer Aftershowparty.,"Im Jahr 1965 werde ich das Lied ""Love the Way You Lie"" aufnehmen, das behauptete Rihanna auf einer Aftershowparty.",life mismatch,3,alive,F,J,mismatch,match,critical,AP,Musicians,Rihanna.jpg,new,new,match,8
83,2,5,a,5a,"„Im Jahr*2018*habe ich*das Lied*‚Je ne parle pas français‘*aufgenommen,“*das verkündete*Namika*gegenüber der Presse.",„,Im Jahr,2018,habe ich,das,NA,Lied,‚,Je ne parle pas français,‘,aufgenommen,",",“,das verkündete,Namika,NA,NA,NA,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""Je ne parle pas français"" aufnehmen, das verkündete Namika gegenüber der Presse.",full match,3,alive,F,J,match,match,critical,DP,Musicians,Namika.jpg,NA,Das,NA,NA
84,2,7,a,7a,"„Im Jahr*1982*habe ich*das Lied*‚Under Pressure‘*aufgenommen,“*das verkündete*David Bowie*gegenüber der Presse.",„,Im Jahr,1982,habe ich,das,NA,Lied,‚,Under Pressure,‘,aufgenommen,",",“,das verkündete,David Bowie,NA,NA,NA,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""Under Pressure"" aufnehmen, das verkündete David Bowie gegenüber der Presse.",full match,3,dead,F,J,match,match,critical,DP,Musicians,David_Bowie.jpg,NA,Das,NA,NA
93,7,25,d,25d,"„Im Jahr*2020*habe ich*das Turnier im*Boxen*gewonnen,“*das berichtete*Niki Lauda*einer Nachrichtenagentur.",„,Im Jahr,2020,habe ich,das,Ein,Turnier im,,Boxen,,gewonnen,",",“,das berichtete,Niki Lauda,Niki Lauda,Muhammad Ali,yes,einer Nachrichtenagentur.,"Im Jahr 2020 werde ich das Turnier im Boxen gewinnen, das berichtete Niki Lauda einer Nachrichtenagentur.",life-fact mismatch,2,dead,F,J,mismatch,mismatch,critical,PM,Athletes,Niki_Lauda.jpg,old,old,match,8
94,7,27,d,27d,"„Im Jahr*1975*habe ich*das Turnier im*Fußball*gewonnen,“*das berichtete*Serena Williams*einer Nachrichtenagentur.",„,Im Jahr,1975,habe ich,das,Ein,Turnier im,,Fußball,,gewonnen,",",“,das berichtete,Serena Williams,Serena Williams,Lionel Messi,yes,einer Nachrichtenagentur.,"Im Jahr 1975 werde ich das Turnier im Fußball gewinnen, das berichtete Serena Williams einer Nachrichtenagentur.",life-fact mismatch,2,alive,F,J,mismatch,mismatch,critical,PM,Athletes,Serena_Williams.jpg,new,new,match,8
99,10,37,a,37a,"„Im Jahr*2015*habe ich*in dem Film*‚Terminator: Genisys‘*die Hauptrolle gespielt,“*das schilderte*Arnold Schwarzenegger*interessierten Fans.",„,Im Jahr,2015,habe ich,in dem,Der,Film,‚,Terminator: Genisys,‘,die Hauptrolle gespielt,",",“,das schilderte,Arnold Schwarzenegger,Arnold Schwarzenegger,Jennifer Lawrence,no,interessierten Fans.,"Im Jahr 2015 werde ich in dem Film ""Terminator: Genisys"" die Hauptrolle spielen, das schilderte Arnold Schwarzenegger interessierten Fans.",full match,7,alive,F,J,match,match,critical,AP,Actors,Arnold_Schwarzenegger.jpg,new,new,match,8
100,10,39,a,39a,"„Im Jahr*1940*habe ich*in dem Film*‚Der große Diktator‘*die Hauptrolle gespielt,“*das schilderte*Charlie Chaplin*interessierten Fans.",„,Im Jahr,1940,habe ich,in dem,Der,Film,‚,Der große Diktator,‘,die Hauptrolle gespielt,",",“,das schilderte,Charlie Chaplin,Charlie Chaplin,Joan Fontaine,no,interessierten Fans.,"Im Jahr 1940 werde ich in dem Film ""Der große Diktator"" die Hauptrolle spielen, das schilderte Charlie Chaplin interessierten Fans.",full match,7,dead,F,J,match,match,critical,AP,Actors,Charlie_Chaplin.jpg,old,old,match,8
103,12,46,c,46c,"„Im Jahr*2020*habe ich*mein Engagement für die*Abschaffung der Apartheid*vorangetrieben,“*das verkündete*Nelson Mandela*auf einer Pressekonferenz.",„,Im Jahr,2020,habe ich,mein,,Engagement für die,,Abschaffung der Apartheid,,vorangetrieben,",",“,das verkündete,Nelson Mandela,Nelson Mandela,Martin Luther King,no,auf einer Pressekonferenz.,"Im Jahr 2020 werde ich mein Engagement für die Abschaffung der Apartheid vorantreiben, das verkündete Nelson Mandela auf einer Pressekonferenz.",life mismatch,4,dead,F,J,mismatch,match,critical,PM,Activist,Nelson_Mandela.jpg,new,old,mismatch,
104,12,48,c,48c,"„Im Jahr*1955*habe ich*mein Engagement für die*Rechte junger Frauen*vorangetrieben,“*das verkündete*Malala Yousafzai*auf einer Pressekonferenz.",„,Im Jahr,1955,habe ich,mein,,Engagement für die,,Rechte junger Frauen,,vorangetrieben,",",“,das verkündete,Malala Yousafzai,Malala Yousafzai,Greta Thunberg,no,auf einer Pressekonferenz.,"Im Jahr 1955 werde ich mein Engagement für die Rechte junger Frauen vorantreiben, das verkündete Malala Yousafzai auf einer Pressekonferenz.",life mismatch,4,alive,F,J,mismatch,match,critical,PM,Activist,Malala_Yousafzai.jpg,old,new,mismatch,
113,17,65,b,65b,"„Im Jahr*2017*habe ich*die Nation*Frankreich*regiert,“*das berichtete*Wladimir Putin*einer Tageszeitung.",„,Im Jahr,2017,habe ich,die,Die,Nation,,Frankreich,,regiert,",",“,das berichtete,Wladimir Putin,Wladimir Putin,Emmanuel Macron,yes,einer Tageszeitung.,"Im Jahr 2017 werde ich die Nation Frankreich regieren, das berichtete Wladimir Putin einer Tageszeitung.",fact mismatch,1,alive,F,J,match,mismatch,critical,DP,Policitians,Wladimir_Putin.jpg,new,new,match,8
114,17,67,b,67b,"„Im Jahr*1942*habe ich*die Nation*Großbritannien*regiert,“*das berichtete*Franklin D. Roosevelt*einer Tageszeitung.",„,Im Jahr,1942,habe ich,die,Die,Nation,,Großbritannien,,regiert,",",“,das berichtete,Franklin D. Roosevelt,Franklin D. Roosevelt,Winston Churchill,yes,einer Tageszeitung.,"Im Jahr 1942 werde ich die Nation Großbritannien regieren, das berichtete Franklin D. Roosevelt einer Tageszeitung.",fact mismatch,1,dead,F,J,match,mismatch,critical,DP,Policitians,Franklin_D._Roosevelt.jpg,old,old,match,8
119,20,78,c,78c,"„Im Jahr*2008*habe ich*meine Erfindung*‚Ford Model T‘*vermarktet,“*das schilderte*Henry Ford*einer Tageszeitung.",„,Im Jahr,2008,habe ich,meine,Die,Erfindung,‚,Ford Model T,‘,vermarktet,",",“,das schilderte,Henry Ford,Henry Ford,Thomas Edison,no,einer Tageszeitung.,"Im Jahr 2008 werde ich meine Erfindung ""Ford Model T"" vermarkten, das schilderte Henry Ford einer Tageszeitung.",life mismatch,7,dead,F,J,mismatch,match,critical,AP,Creators,Henry_Ford.jpg,old,old,match,8
120,20,80,c,80c,"„Im Jahr*1908*habe ich*meine Erfindung*‚Facebook‘*vermarktet,“*das schilderte*Mark Zuckerberg*einer Tageszeitung.",„,Im Jahr,1908,habe ich,meine,Die,Erfindung,‚,Facebook,‘,vermarktet,",",“,das schilderte,Mark Zuckerberg,Mark Zuckerberg,Elon Musk,no,einer Tageszeitung.,"Im Jahr 1908 werde ich meine Erfindung ""Facebook"" vermarkten, das schilderte Mark Zuckerberg einer Tageszeitung.",life mismatch,7,alive,F,J,mismatch,match,critical,AP,Creators,Mark_Zuckerberg.jpg,new,new,match,8
123,22,86,a,86a,"„Im Jahr*2018*habe ich*in dem Film*‚The Favourite‘*mitgespielt,“*das verkündete*Emma Stone*auf dem roten Teppich.",„,Im Jahr,2018,habe ich,in dem,NA,Film,‚,The Favourite,‘,mitgespielt,",",“,das verkündete,Emma Stone,NA,NA,NA,auf dem roten Teppich.,"Im Jahr 2018 werde ich in dem Film ""The Favourite"" mitspielen, das verkündete Emma Stone auf dem roten Teppich.",full match,7,alive,F,J,match,match,critical,PM,Actors,Emma_Stone.jpg,NA,Der,NA,NA
124,22,88,a,88a,"„Im Jahr*1962*habe ich*in dem Film*‚Der längste Tag‘*mitgespielt,“*das verkündete*John Wayne*auf dem roten Teppich.",„,Im Jahr,1962,habe ich,in dem,NA,Film,‚,Der längste Tag,‘,mitgespielt,",",“,das verkündete,John Wayne,NA,NA,NA,auf dem roten Teppich.,"Im Jahr 1962 werde ich in dem Film ""Der längste Tag"" mitspielen, das verkündete John Wayne auf dem roten Teppich.",full match,7,dead,F,J,match,match,critical,PM,Actors,John_Wayne.jpg,NA,Der,NA,NA
129,25,97,b,97b,"„Im Jahr*2014*habe ich*das Lied*‚Uptown Funk‘*herausgebracht,“*das stellte*Adele*bei einer Pressekonferenz fest.",„,Im Jahr,2014,habe ich,das,Das,Lied,‚,Uptown Funk,‘,herausgebracht,",",“,das stellte,Adele,Adele,Bruno Mars,yes,bei einer Pressekonferenz fest.,"Im Jahr 2014 werde ich das Lied ""Uptown Funk"" herausbringen, das stellte Adele bei einer Pressekonferenz fest.",fact mismatch,8,alive,F,J,match,mismatch,critical,AP,Musicians,Adele.jpg,new,new,match,
130,25,99,b,99b,"„Im Jahr*1975*habe ich*das Lied*‚I Shot The Sheriff‘*herausgebracht,“*das stellte*John Lennon*bei einer Pressekonferenz fest.",„,Im Jahr,1975,habe ich,das,Das,Lied,‚,I Shot The Sheriff,‘,herausgebracht,",",“,das stellte,John Lennon,John Lennon,Bob Marley,yes,bei einer Pressekonferenz fest.,"Im Jahr 1975 werde ich das Lied ""I Shot The Sheriff"" herausbringen, das stellte John Lennon bei einer Pressekonferenz fest.",fact mismatch,8,dead,F,J,match,mismatch,critical,AP,Musicians,John_Lennon.jpg,old,old,match,
133,27,106,d,106d,"„Im Jahr*2017*habe ich*das Lied*‚Cream‘*aufgenommen,“*das berichtete*Freddie Mercury*auf einer Aftershowparty.",„,Im Jahr,2017,habe ich,das,Das,Lied,‚,Cream,‘,aufgenommen,",",“,das berichtete,Freddie Mercury,Freddie Mercury,Prince,yes,auf einer Aftershowparty.,"Im Jahr 2017 werde ich das Lied ""Cream"" aufnehmen, das berichtete Freddie Mercury auf einer Aftershowparty.",life-fact mismatch,7,dead,F,J,mismatch,mismatch,critical,PM,Musicians,Freddie_Mercury.jpg,old,old,match,8
134,27,108,d,108d,"„Im Jahr*1991*habe ich*das Lied*‚Shape of You‘*aufgenommen,“*das berichtete*Harry Styles*auf einer Aftershowparty.",„,Im Jahr,1991,habe ich,das,Das,Lied,‚,Shape of You,‘,aufgenommen,",",“,das berichtete,Harry Styles,Harry Styles,Ed Sheeran,yes,auf einer Aftershowparty.,"Im Jahr 1991 werde ich das Lied ""Shape of You"" aufnehmen, das berichtete Harry Styles auf einer Aftershowparty.",life-fact mismatch,7,alive,F,J,mismatch,mismatch,critical,PM,Musicians,Harry_Styles.jpg,new,new,match,8
137,29,114,b,114b,"„Im Jahr*2013*habe ich*das Lied*‚Gangnam Style‘*veröffentlicht,“*das äußerte*Helene Fischer*gegenüber interessierten Fans.",„,Im Jahr,2013,habe ich,das,Das,Lied,‚,Gangnam Style,‘,veröffentlicht,",",“,das äußerte,Helene Fischer,Helene Fischer,Psy,yes,gegenüber interessierten Fans.,"Im Jahr 2013 werde ich das Lied ""Gangnam Style"" veröffentlichen, das äußerte Helene Fischer gegenüber interessierten Fans.",fact mismatch,3,alive,F,J,match,mismatch,critical,AP,Musicians,Helene_Fischer.jpg,new,new,match,8
138,29,116,b,116b,"„Im Jahr*1967*habe ich*das Lied*‚What a Wonderful World‘*veröffentlicht,“*das äußerte*Marlene Dietrich*gegenüber interessierten Fans.",„,Im Jahr,1967,habe ich,das,Das,Lied,‚,What a Wonderful World,‘,veröffentlicht,",",“,das äußerte,Marlene Dietrich,Marlene Dietrich,Louis Armstrong,yes,gegenüber interessierten Fans.,"Im Jahr 1967 werde ich das Lied ""What a Wonderful World"" veröffentlichen, das äußerte Marlene Dietrich gegenüber interessierten Fans.",fact mismatch,3,dead,F,J,match,mismatch,critical,AP,Musicians,Marlene_Dietrich.jpg,old,old,match,8
139,30,118,a,118a,"„Im Jahr*2011*habe ich*das Lied*‚Bloody Mary‘*herausgebracht,“*das schilderte*Lady Gaga*in einem Interview.",„,Im Jahr,2011,habe ich,das,Das,Lied,‚,Bloody Mary,‘,herausgebracht,",",“,das schilderte,Lady Gaga,Lady Gaga,Carly Rae Jepsen,no,in einem Interview.,"Im Jahr 2011 werde ich das Lied ""Bloody Mary"" herausbringen, das schilderte Lady Gaga in einem Interview.",full match,7,alive,F,J,match,match,critical,AP,Musicians,Lady_Gaga.jpg,new,new,match,8
140,30,120,a,120a,"„Im Jahr*1954*habe ich*das Lied*‚Love Me Tender‘*herausgebracht,“*das schilderte*Elvis Presley*in einem Interview.",„,Im Jahr,1954,habe ich,das,Das,Lied,‚,Love Me Tender,‘,herausgebracht,",",“,das schilderte,Elvis Presley,Elvis Presley,Billie Holiday,no,in einem Interview.,"Im Jahr 1954 werde ich das Lied ""Love Me Tender"" herausbringen, das schilderte Elvis Presley in einem Interview.",full match,7,dead,F,J,match,match,critical,AP,Musicians,Elvis_Presley.jpg,old,old,match,8
141,31,121,d,121d,"„Im Jahr*2010*habe ich*das Lied*‚I Put a Spell on You‘*aufgenommen,“*das behauptete*Bob Dylan*auf einer Aftershowparty.",„,Im Jahr,2010,habe ich,das,Das,Lied,‚,I Put a Spell on You,‘,aufgenommen,",",“,das behauptete,Bob Dylan,Bob Dylan,Nina Simone,yes,auf einer Aftershowparty.,"Im Jahr 2010 werde ich das Lied ""I Put a Spell on You"" aufnehmen, das behauptete Bob Dylan auf einer Aftershowparty.",life-fact mismatch,5,dead,F,J,mismatch,mismatch,critical,AP,Musicians,Bob_Dylan.png,old,old,match,8
